yyyymm,CI_先行指数,CI_一致指数,CI_遅行指数,DI_先行指数,DI_一致指数,DI_遅行指数
200807,109.0,117.1,112.0,18.2,40.0,33.3
200808,107.0,113.4,110.7,27.3,10.0,11.1
200809,105.6,112.4,110.3,13.6,0.0,33.3
200810,100.0,108.8,109.6,0.0,0.0,11.1
200811,94.1,102.3,106.5,0.0,0.0,44.4
200812,90.6,96.5,102.8,9.1,0.0,0.0
200901,84.7,88.1,100.7,9.1,0.0,0.0
200902,82.0,83.5,97.5,9.1,0.0,0.0
200903,83.6,83.1,95.8,18.2,0.0,11.1
200904,87.4,84.6,94.2,72.7,30.0,11.1
200905,89.9,86.3,91.6,81.8,60.0,22.2
200906,93.5,87.9,90.6,81.8,80.0,11.1
200907,95.4,88.8,89.3,68.2,70.0,11.1
200908,97.2,90.7,89.6,81.8,90.0,33.3
200909,99.8,93.2,89.5,81.8,90.0,33.3
200910,102.3,95.3,89.0,90.9,90.0,38.9
200911,102.0,97.1,89.2,90.9,90.0,33.3
200912,104.1,98.7,89.7,72.7,90.0,55.6
201001,105.3,101.8,90.6,63.6,90.0,66.7
201002,104.1,102.5,90.5,72.7,90.0,55.6
201003,107.8,103.9,90.9,90.9,90.0,66.7
201004,109.2,105.0,90.6,81.8,80.0,33.3
201005,108.1,104.6,91.6,90.9,60.0,50.0
201006,108.5,105.2,92.0,63.6,50.0,44.4
201007,108.4,105.9,93.0,54.5,40.0,88.9
201008,108.9,106.1,92.6,45.5,70.0,72.2
201009,108.2,106.9,92.9,54.5,60.0,55.6
201010,107.9,106.4,93.7,54.5,60.0,55.6
201011,108.9,108.4,93.6,40.9,80.0,77.8
201012,109.5,108.7,93.9,63.6,70.0,55.6
201101,110.1,108.5,94.1,72.7,70.0,44.4
201102,110.9,110.0,94.8,50.0,80.0,66.7
201103,108.4,102.1,92.6,45.5,10.0,27.8
201104,105.5,100.9,93.6,18.2,10.0,33.3
201105,106.3,103.5,94.3,36.4,0.0,22.2
201106,108.8,105.8,94.4,45.5,85.0,66.7
201107,110.8,106.9,94.8,72.7,100.0,50.0
201108,110.6,108.0,95.8,77.3,85.0,77.8
201109,109.1,108.8,96.6,36.4,70.0,77.8
201110,109.3,110.4,96.2,45.5,80.0,66.7
201111,109.0,108.9,96.4,31.8,50.0,55.6
201112,109.5,111.0,97.1,63.6,80.0,38.9
201201,110.1,111.1,96.5,63.6,80.0,22.2
201202,111.5,112.0,97.7,72.7,90.0,55.6
201203,111.7,113.3,98.5,72.7,85.0,72.2
201204,110.9,111.8,98.6,54.5,50.0,77.8
201205,110.1,111.6,98.2,54.5,40.0,55.6
201206,108.5,109.3,98.1,22.7,10.0,44.4
201207,107.7,108.7,97.3,40.9,10.0,22.2
201208,107.5,108.5,97.3,45.5,10.0,33.3
201209,106.5,107.1,97.2,63.6,20.0,44.4
201210,106.3,107.0,97.5,40.9,40.0,72.2
201211,106.0,106.4,97.2,27.3,25.0,66.7
201212,107.1,107.8,97.2,81.8,70.0,44.4
201301,109.3,108.0,96.6,63.6,80.0,33.3
201302,112.6,109.0,96.2,81.8,80.0,44.4
201303,114.4,110.7,96.3,100.0,80.0,44.4
