,,,,,,,,,,,類・品目符号,0201,0202,0241,0203,0204,0205,0206,0207,0208,0211,0214,0215,0218,0219,0220,0242,0221,0243,0222,0223,0224,0225,0226,0227,0228,0229,0230,0245,0246,0231,0247,0248,0232,0233,0234,0235,0236,0237,0238,0239,0240
,,,,,,,,,,,類・品目,総合,財,生鮮食品を除く財,農水畜産物,生鮮商品,他の農水畜産物,米類,工業製品,食料工業製品,繊維製品,石油製品,他の工業製品,電気・都市ガス・水道,出版物,サービス,持家の帰属家賃を除くサービス,公共サービス,外食,公営・都市再生機構・公社家賃,家事関連サービス,医療・福祉関連サービス,運輸・通信関連サービス,教育関連サービス,教養娯楽関連サービス,一般サービス,外食,民営家賃,民営家賃（木造）,民営家賃（非木造）,持家の帰属家賃,持家の帰属家賃（木造）,持家の帰属家賃（非木造）,他のサービス,家事関連サービス,医療・福祉関連サービス,教育関連サービス,通信・教養娯楽関連サービス,耐久消費財,半耐久消費財,非耐久消費財,公共料金
,,,,,,,,,,,ウエイト(2020年指数以降),10000,4341,3956,662,614,48,48,3085,1396,377,61,1251,484,110,5659,3658,1101,19,62,318,307,304,21,71,4557,515,391,- ,- ,2000,- ,- ,1650,438,40,438,735,520,664,3158,1616
,,,,,,,,,,,品目数(2020年指数以降),582,442,382,72,70,2,2,359,145,65,3,146,3,8,140,139,40,2,2,8,3,18,2,5,100,23,1,- ,- ,1,- ,- ,75,32,4,10,29,41,107,294,46
,,,,,,,,,,,表章項目,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比,前年度比
,,,,,,,時間軸コード,年月,地域コード,地域,単位,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％,％
d02-2,2003DD      ,7.0,1.0,,34.0,,2003100000,2003年度,13100,東京都区部,,-0.4,-0.9,-0.6,-0.8,-2.6,11.8,12,-1.3,-0.8,-1.5,0.9,-1.7,0.9,0.1,0,0.2,1.4,- ,1.4,-0.7,9.1,0.2,2.3,0,-0.4,0.1,-0.2,- ,- ,-0.6,- ,- ,-0.6,-0.7,1.9,-0.7,-0.5,-5.2,-0.9,-0.4,1.4
d02-2,2004DD      ,7.0,1.0,,35.0,,2004100000,2004年度,13100,東京都区部,,-0.1,-0.1,-0.5,2.3,3.1,-1.8,-1.9,-0.5,-0.3,0.2,6.7,-1.8,-2.2,0.5,-0.1,-0.1,-0.9,- ,0.4,-1.7,-1.3,-1,0.7,0,0.1,0.9,-0.1,- ,- ,-0.2,- ,- ,0.3,0.3,0,0.7,-0.1,-3.9,-0.1,0.3,-1.2
d02-2,2005DD      ,7.0,1.0,,36.0,,2005100000,2005年度,13100,東京都区部,,-0.4,-0.9,-0.4,-3.9,-3.3,-8.3,-8.5,-0.2,-0.1,0.1,8.9,-1.5,-0.5,0.4,-0.1,-0.1,-0.6,- ,0.4,0.6,0.6,-2,1.5,0.3,0.1,0,-0.7,- ,- ,0.2,- ,- ,0.3,0.2,7,0.4,0,-3.3,0.3,-0.9,-0.5
d02-2,2006DD      ,7.0,1.0,,37.0,,2006100000,2006年度,13100,東京都区部,,0.3,0.3,-0.1,2.5,3.1,-1.6,-1.5,-0.5,-0.3,-0.2,6.7,-1.3,1.8,0.4,0.1,0.1,-0.1,- ,0.3,0,-0.3,-0.4,0.9,0.2,0.3,0.4,-0.2,- ,- ,0.1,- ,- ,0.3,0.2,-0.4,0.8,0,-6.2,0.4,1.1,0.6
d02-2,2007DD      ,7.0,1.0,,38.0,,2007100000,2007年度,13100,東京都区部,,0.1,-0.1,-0.1,0.8,1.2,-3,-3.2,-0.5,0.1,-1.4,7.5,-1.8,1.2,0.3,0.3,0.3,0.4,- ,0.2,-0.2,1.2,0.4,1,0,0.2,0.5,-0.4,- ,- ,0.2,- ,- ,0.4,0.2,1.6,1.1,0,-6.3,-0.5,0.7,0.7
d02-2,2008DD      ,7.0,1.0,,39.0,,2008100000,2008年度,13100,東京都区部,,1,1.6,1.8,-0.3,-0.1,-1.1,-1.2,1.3,3.8,-0.6,1.4,-0.7,6.1,0.3,0.5,0.7,0,- ,0.7,-0.9,-0.6,0.7,1.7,0,0.7,2.2,0.1,- ,- ,0.3,- ,- ,0.7,0.2,7.1,0.7,0.9,-5.2,0.1,2.6,1.6
d02-2,2009DD      ,7.0,1.0,,40.0,,2009100000,2009年度,13100,東京都区部,,-1.7,-3.2,-3.2,-3.8,-3.9,-2.6,-2.5,-2.8,-0.9,-3.1,-14.2,-3.6,-6.3,0.5,-0.5,-0.5,-0.3,- ,-0.7,-0.3,0.2,-0.5,0,0,-0.7,0.3,-0.4,- ,- ,-0.7,- ,- ,-1,-0.3,6.6,0.5,-2.8,-7.6,-2.4,-3.1,-1.9
d02-2,2010DD      ,7.0,1.0,,41.0,,2010100000,2010年度,13100,東京都区部,,-0.6,-0.2,-1.1,4.3,5.3,-4.5,-4.7,-1.3,-2,-0.6,7.6,-1.7,0.1,0.2,-0.8,-0.7,-1.2,- ,0.2,1.6,0.3,-0.3,-77.7,0.1,-0.6,-0.1,-0.6,* ,* ,-0.8,* ,* ,-0.5,-0.4,2.7,-2.6,0.5,-6,-0.9,0.5,-0.2
d02-2,2011DD      ,7.0,1.0,,42.0,,2011100000,2011年度,13100,東京都区部,,-0.4,-1.1,-1,-1.3,-1.5,0.2,0.2,-2.2,-0.6,-0.5,8.4,-5.2,4.8,0.3,0.1,0.4,0.8,- ,0.4,1.8,0,0.7,0,0.2,0,0,-0.4,-0.9,-0.3,-0.4,-0.8,0,0.4,-0.4,0.8,0.8,0.7,-12.8,-0.7,0.6,2.4
d02-2,2012DD      ,7.0,1.0,,43.0,,2012100000,2012年度,13100,東京都区部,,-0.7,-1.1,-0.9,-2.1,-2.9,6.3,6.5,-2.4,-1.5,-1.1,0.9,-4,6.3,0.8,-0.3,-0.2,0.1,- ,0.1,0.8,0.2,-0.1,0,-1.7,-0.5,-0.1,-0.6,-0.9,-0.5,-0.6,-1,-0.4,-0.3,-0.2,2.2,0.1,-0.7,-9.1,-0.7,-0.1,2
